polymer_name,SMILES,Molecular Weight_polymer,Unit weight_polymer,N of repeat units_polymer,Tg_polymer,MaxAbsEStateIndex_polymer,MaxEStateIndex_polymer,MinAbsEStateIndex_polymer,MinEStateIndex_polymer,qed_polymer,SPS_polymer,MolWt_polymer,HeavyAtomMolWt_polymer,ExactMolWt_polymer,NumValenceElectrons_polymer,NumRadicalElectrons_polymer,MaxPartialCharge_polymer,MinPartialCharge_polymer,MaxAbsPartialCharge_polymer,MinAbsPartialCharge_polymer,FpDensityMorgan1_polymer,FpDensityMorgan2_polymer,FpDensityMorgan3_polymer,BCUT2D_MWHI_polymer,BCUT2D_MWLOW_polymer,BCUT2D_CHGHI_polymer,BCUT2D_CHGLO_polymer,BCUT2D_LOGPHI_polymer,BCUT2D_LOGPLOW_polymer,BCUT2D_MRHI_polymer,BCUT2D_MRLOW_polymer,AvgIpc_polymer,BalabanJ_polymer,BertzCT_polymer,Chi0_polymer,Chi0n_polymer,Chi0v_polymer,Chi1_polymer,Chi1n_polymer,Chi1v_polymer,Chi2n_polymer,Chi2v_polymer,Chi3n_polymer,Chi3v_polymer,Chi4n_polymer,Chi4v_polymer,HallKierAlpha_polymer,Kappa1_polymer,Kappa2_polymer,Kappa3_polymer,LabuteASA_polymer,PEOE_VSA1_polymer,PEOE_VSA10_polymer,PEOE_VSA11_polymer,PEOE_VSA12_polymer,PEOE_VSA13_polymer,PEOE_VSA14_polymer,PEOE_VSA2_polymer,PEOE_VSA3_polymer,PEOE_VSA4_polymer,PEOE_VSA5_polymer,PEOE_VSA6_polymer,PEOE_VSA7_polymer,PEOE_VSA8_polymer,PEOE_VSA9_polymer,SMR_VSA1_polymer,SMR_VSA10_polymer,SMR_VSA2_polymer,SMR_VSA3_polymer,SMR_VSA4_polymer,SMR_VSA5_polymer,SMR_VSA6_polymer,SMR_VSA7_polymer,SMR_VSA8_polymer,SMR_VSA9_polymer,SlogP_VSA1_polymer,SlogP_VSA10_polymer,SlogP_VSA11_polymer,SlogP_VSA12_polymer,SlogP_VSA2_polymer,SlogP_VSA3_polymer,SlogP_VSA4_polymer,SlogP_VSA5_polymer,SlogP_VSA6_polymer,SlogP_VSA7_polymer,SlogP_VSA8_polymer,SlogP_VSA9_polymer,TPSA_polymer,EState_VSA1_polymer,EState_VSA10_polymer,EState_VSA11_polymer,EState_VSA2_polymer,EState_VSA3_polymer,EState_VSA4_polymer,EState_VSA5_polymer,EState_VSA6_polymer,EState_VSA7_polymer,EState_VSA8_polymer,EState_VSA9_polymer,VSA_EState1_polymer,VSA_EState10_polymer,VSA_EState2_polymer,VSA_EState3_polymer,VSA_EState4_polymer,VSA_EState5_polymer,VSA_EState6_polymer,VSA_EState7_polymer,VSA_EState8_polymer,VSA_EState9_polymer,FractionCSP3_polymer,HeavyAtomCount_polymer,NHOHCount_polymer,NOCount_polymer,NumAliphaticCarbocycles_polymer,NumAliphaticHeterocycles_polymer,NumAliphaticRings_polymer,NumAmideBonds_polymer,NumAromaticCarbocycles_polymer,NumAromaticHeterocycles_polymer,NumAromaticRings_polymer,NumAtomStereoCenters_polymer,NumBridgeheadAtoms_polymer,NumHAcceptors_polymer,NumHDonors_polymer,NumHeteroatoms_polymer,NumHeterocycles_polymer,NumRotatableBonds_polymer,NumSaturatedCarbocycles_polymer,NumSaturatedHeterocycles_polymer,NumSaturatedRings_polymer,NumSpiroAtoms_polymer,NumUnspecifiedAtomStereoCenters_polymer,Phi_polymer,RingCount_polymer,MolLogP_polymer,MolMR_polymer,fr_Al_COO_polymer,fr_Al_OH_polymer,fr_Al_OH_noTert_polymer,fr_ArN_polymer,fr_Ar_COO_polymer,fr_Ar_N_polymer,fr_Ar_NH_polymer,fr_Ar_OH_polymer,fr_COO_polymer,fr_COO2_polymer,fr_C_O_polymer,fr_C_O_noCOO_polymer,fr_C_S_polymer,fr_HOCCN_polymer,fr_Imine_polymer,fr_NH0_polymer,fr_NH1_polymer,fr_NH2_polymer,fr_N_O_polymer,fr_Ndealkylation1_polymer,fr_Ndealkylation2_polymer,fr_Nhpyrrole_polymer,fr_SH_polymer,fr_aldehyde_polymer,fr_alkyl_carbamate_polymer,fr_alkyl_halide_polymer,fr_allylic_oxid_polymer,fr_amide_polymer,fr_amidine_polymer,fr_aniline_polymer,fr_aryl_methyl_polymer,fr_azide_polymer,fr_azo_polymer,fr_barbitur_polymer,fr_benzene_polymer,fr_benzodiazepine_polymer,fr_bicyclic_polymer,fr_diazo_polymer,fr_dihydropyridine_polymer,fr_epoxide_polymer,fr_ester_polymer,fr_ether_polymer,fr_furan_polymer,fr_guanido_polymer,fr_halogen_polymer,fr_hdrzine_polymer,fr_hdrzone_polymer,fr_imidazole_polymer,fr_imide_polymer,fr_isocyan_polymer,fr_isothiocyan_polymer,fr_ketone_polymer,fr_ketone_Topliss_polymer,fr_lactam_polymer,fr_lactone_polymer,fr_methoxy_polymer,fr_morpholine_polymer,fr_nitrile_polymer,fr_nitro_polymer,fr_nitro_arom_polymer,fr_nitro_arom_nonortho_polymer,fr_nitroso_polymer,fr_oxazole_polymer,fr_oxime_polymer,fr_para_hydroxylation_polymer,fr_phenol_polymer,fr_phenol_noOrthoHbond_polymer,fr_phos_acid_polymer,fr_phos_ester_polymer,fr_piperdine_polymer,fr_piperzine_polymer,fr_priamide_polymer,fr_prisulfonamd_polymer,fr_pyridine_polymer,fr_quatN_polymer,fr_sulfide_polymer,fr_sulfonamd_polymer,fr_sulfone_polymer,fr_term_acetylene_polymer,fr_tetrazole_polymer,fr_thiazole_polymer,fr_thiocyan_polymer,fr_thiophene_polymer,fr_unbrch_alkane_polymer,fr_urea_polymer
PEG 6000,C(CO)O,6000,62.1,96.7,59,7.625,7.625,0.125,-0.125,0.407527891,7.5,62.068,56.02,62.03677943,26,0,0.06622664,-0.393990542,0.393990542,0.06622664,1,1.25,1.25,16.30425825,10.81832367,1.575298676,-1.699066797,1.392607251,-1.84530091,4.062481069,0.185938562,1.370950594,1.974744871,6,3.414213562,2.308640753,2.308640753,1.914213562,1.132455532,1.132455532,0.447213595,0.447213595,0.1,0.1,0,0,-0.08,3.92,2.92,1.92,24.69266065,10.21305479,0,0,0,0,0,0,0,0,0,0,0,0,13.21376393,10.21305479,0,0,0,0,0,13.21376393,0,0,0,0,0,0,0,23.42681872,0,0,0,0,0,0,0,40.46,0,0,0,13.21376393,0,0,0,0,0,0,10.21305479,0,0,0,15.25,0,0,0,0,-0.25,0,1,4,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,2.8616,0,-1.029,14.1716,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVP K15,C=CN1CCCC1=O,8000,111.1,72,130,10.66,10.66,0.208333333,0.208333333,0.488692043,19.5,111.144,102.072,111.0684139,44,0,0.226055117,-0.319671229,0.319671229,0.226055117,1.75,2.5,2.75,16.15325108,10.38004459,2.154559935,-2.048432761,2.075511437,-2.158559169,5.784446402,-0.124969213,2.139472527,2.536681979,119.6969429,5.983127663,4.76123928,4.76123928,3.842535255,2.76395928,2.76395928,1.873260431,1.873260431,1.330390273,1.330390273,0.862038468,0.862038468,-0.79,5.348696255,1.987228406,0.734836449,48.78988318,4.899909731,0,0,5.907179729,0,0,4.794537184,0,0,0,6.578935684,12.62077651,12.96557803,0,4.794537184,5.907179729,0,4.899909731,0,12.84164325,6.544756406,12.77889057,0,0,0,0,0,0,17.35184587,4.794537184,0,12.84164325,12.77889057,0,0,0,20.31,0,4.794537184,0,5.907179729,6.420821623,12.96557803,0,11.09986462,0,6.578935684,0,0,0,12.31277778,0,0,0.208333333,0,3.283935185,4.36162037,0,0.5,8,0,2,0,1,1,1,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,1.328635141,1,0.7523,31.144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVP K25,C=CN1CCCC1=O,31000,111.1,278.9,165,10.66,10.66,0.208333333,0.208333333,0.488692043,19.5,111.144,102.072,111.0684139,44,0,0.226055117,-0.319671229,0.319671229,0.226055117,1.75,2.5,2.75,16.15325108,10.38004459,2.154559935,-2.048432761,2.075511437,-2.158559169,5.784446402,-0.124969213,2.139472527,2.536681979,119.6969429,5.983127663,4.76123928,4.76123928,3.842535255,2.76395928,2.76395928,1.873260431,1.873260431,1.330390273,1.330390273,0.862038468,0.862038468,-0.79,5.348696255,1.987228406,0.734836449,48.78988318,4.899909731,0,0,5.907179729,0,0,4.794537184,0,0,0,6.578935684,12.62077651,12.96557803,0,4.794537184,5.907179729,0,4.899909731,0,12.84164325,6.544756406,12.77889057,0,0,0,0,0,0,17.35184587,4.794537184,0,12.84164325,12.77889057,0,0,0,20.31,0,4.794537184,0,5.907179729,6.420821623,12.96557803,0,11.09986462,0,6.578935684,0,0,0,12.31277778,0,0,0.208333333,0,3.283935185,4.36162037,0,0.5,8,0,2,0,1,1,1,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,1.328635141,1,0.7523,31.144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMCAS 126G,CO[C@@H]1[C@H](O[C@@H](O[C@@H]2[C@@H](COCC(OC(CCC(O)=O)=O)C)O[C@@H](O[C@@H]3[C@H](O[C@@H](O[C@@H]4[C@@H](COC)O[C@@H](C)[C@@H]([C@H]4OC(C)=O)OC)[C@H](OC)[C@H]3OC)COC)[C@@H]([C@H]2OC(C)=O)OC)[C@H](OC)[C@H]1OC(C)=O)COC,150000,1075.1,139.5,125.8,13.13269316,13.13269316,0.036771796,-1.473910328,0.074543104,36.83783784,1075.114,996.49,1074.473047,428,0,0.306221438,-0.481218929,0.481218929,0.306221438,0.445945946,0.797297297,1.189189189,16.78707614,9.935517184,2.584475769,-2.513333279,2.386983356,-2.685506613,5.761778668,-0.390218134,3.329355187,1.760905009,1724.416814,54.81009687,44.63577227,44.63577227,35.33683749,24.07157075,24.07157075,17.83227365,17.83227365,12.55571965,12.55571965,9.52480357,9.52480357,-3.33,63.20411763,31.1668407,16.83499577,430.4895577,104.5806494,85.45552943,37.18197935,0,0,29.84652644,23.97268592,0,0,0,0,13.8474744,84.75938947,51.98001946,128.5533353,29.84652644,0,0,0,176.2018044,97.02258769,0,0,0,0,0,0,0,260.7171167,123.446808,0,47.46032924,0,0,0,0,299.41,165.0088232,23.97268592,0,39.45523145,0,0,84.75938947,13.8474744,0,0,104.5806494,127.2679195,0,61.60719791,9.04524233,0,-3.946245152,0,-23.61511238,6.25076104,12.72357011,0.893617021,74,1,27,0,4,4,0,0,0,0,21,0,26,1,27,4,29,0,4,4,0,1,26.61990089,4,-0.2586,245.2518,1,0,0,0,0,0,0,0,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVP K12,C=CN1CCCC1=O,2500,111.1,22.5,102,10.66,10.66,0.208333333,0.208333333,0.488692043,19.5,111.144,102.072,111.0684139,44,0,0.226055117,-0.319671229,0.319671229,0.226055117,1.75,2.5,2.75,16.15325108,10.38004459,2.154559935,-2.048432761,2.075511437,-2.158559169,5.784446402,-0.124969213,2.139472527,2.536681979,119.6969429,5.983127663,4.76123928,4.76123928,3.842535255,2.76395928,2.76395928,1.873260431,1.873260431,1.330390273,1.330390273,0.862038468,0.862038468,-0.79,5.348696255,1.987228406,0.734836449,48.78988318,4.899909731,0,0,5.907179729,0,0,4.794537184,0,0,0,6.578935684,12.62077651,12.96557803,0,4.794537184,5.907179729,0,4.899909731,0,12.84164325,6.544756406,12.77889057,0,0,0,0,0,0,17.35184587,4.794537184,0,12.84164325,12.77889057,0,0,0,20.31,0,4.794537184,0,5.907179729,6.420821623,12.96557803,0,11.09986462,0,6.578935684,0,0,0,12.31277778,0,0,0.208333333,0,3.283935185,4.36162037,0,0.5,8,0,2,0,1,1,1,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,1.328635141,1,0.7523,31.144,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMCAS M (Ash),O[C@@H]1[C@@H](OC)[C@H](O[C@@H]2[C@H](O[C@@H](O[C@@H]3[C@@H](COCC(OC(CCC(O)=O)=O)C)OC([H])[C@@H]([C@H]3O)OC)[C@H](OC)[C@H]2OC(C)=O)COC)O[C@@H]([C@H]1O[C@H]4[C@H](OC)[C@@H](OC(C)=O)[C@H](O[H])[C@H](O4)COC)COC,103200,991,104.1,120,12.82572922,12.82572922,0.055981771,-1.569986372,0.051312697,38.04411765,990.996,920.436,990.4155324,394,0,0.306221438,-0.481218929,0.481218929,0.306221438,0.544117647,1.029411765,1.558823529,16.78107993,9.948783081,2.571624469,-2.503828332,2.370224513,-2.679920184,5.761521085,-0.387893507,3.27652191,1.583333069,1539.157846,50.24118277,39.97417641,39.97417641,32.45629743,21.96485333,21.96485333,16.39533527,16.39533527,11.4852035,11.4852035,8.325336962,8.325336962,-2.84,57.73652252,28.26439743,15.33277534,393.5453906,105.6896427,91.55949582,31.07801296,0,0,23.87722115,19.17814874,0,0,0,0,6.9237372,63.61605719,52.48293503,124.8677915,23.87722115,0,0,0,156.2503636,89.40987458,0,0,0,0,0,0,0,256.3507141,104.4416819,0,33.61285484,0,0,0,0,315.34,152.9355516,34.49773092,0,46.06211341,0,0,63.61605719,6.9237372,0,0,90.37006056,105.4321292,0,47.80537785,43.4120561,0,-3.324278388,0,-25.42561284,3.011681888,9.421979486,0.904761905,68,4,26,0,4,4,0,0,0,0,20,0,25,4,26,4,26,0,4,4,0,1,23.99835322,4,-2.5261,221.5292,1,3,3,0,0,0,0,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPMC E6,O[C@@H]1[C@@H](OC)[C@H](O[C@@H]2[C@H](O[C@@H](O[C@@H]3[C@@H](COC)OC([H])[C@@H]([C@H]3O)OC)[C@H](OC)[C@H]2O)COC)O[C@@H]([C@H]1O[C@H]4[C@H](OC)[C@@H](O)[C@H](O[H])[C@H](O4)COC)COCC(O)C,35600,806.9,44.1,177,11.81012813,11.81012813,0.083477036,-1.522275551,0.068362457,44.72727273,806.849,744.353,806.378359,324,0,0.186995304,-0.391019003,0.391019003,0.186995304,0.490909091,0.909090909,1.363636364,16.77469139,9.95116606,2.555651382,-2.49899168,2.356491981,-2.675041049,4.984256863,-0.388090575,3.14864419,1.576715011,1071.818082,40.39624779,32.596652,32.596652,26.38091003,18.17276062,18.17276062,13.88322951,13.88322951,10.06369658,10.06369658,7.192061898,7.192061898,-0.84,46.84509888,22.50840499,11.26027424,320.2275971,101.6921087,97.6634622,18.87008019,0,0,0,0,0,0,0,0,6.9237372,49.76858279,45.74525817,101.6921087,0,0,0,0,129.561246,89.40987458,0,0,0,0,0,0,0,242.6865477,71.05294431,0,6.9237372,0,0,0,0,259.83,122.6375088,30.63916437,0,39.64129179,0,0,56.69231999,0,0,0,71.05294431,86.87992923,0,0,66.00566597,0,0,0,-23.57243422,1.173571586,9.679934091,1,55,6,21,0,4,4,0,0,0,0,20,0,21,6,21,4,20,0,4,4,0,1,19.17106286,4,-4.0834,181.6918,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eudragit E100,[H]C(C)(C(OCCN(C)C)=O)CC(C(OCCCC)=O)(C)CC(C)(C(OCCN(C)C)=O)CC(C)(C[H])C(OC)=O,47000,558.8,84.1,45,13.5793784,13.5793784,0.015375016,-1.252900206,0.132508573,15.71794872,558.757,504.325,558.3880167,228,0,0.311404757,-0.468602342,0.468602342,0.311404757,0.717948718,1.205128205,1.692307692,16.54523782,9.636144471,2.507934266,-2.401460105,2.46591823,-2.453494828,5.82947623,-0.169149396,2.816772226,6.251548008,798.1570534,30.44094682,26.3088316,26.3088316,17.93522971,13.8277242,13.8277242,12.35495148,12.35495148,6.780621769,6.780621769,4.828287775,4.828287775,-2.2,36.8,16.800186,13.13554297,235.5775669,28.74727128,13.21376393,0,0,0,23.87722115,19.17814874,0,0,0,20.26829602,81.56892322,13.08951281,35.87955696,38.12560055,23.87722115,0,9.799819462,22.16287745,73.64653131,68.21064418,0,0,0,0,0,0,0,101.8876848,38.12560055,22.16287745,73.64653131,0,0,0,0,111.68,46.04009861,19.17814874,0,39.08311076,19.51033443,6.420821623,7.109797541,34.618686,44.91424459,0,18.94745182,21.69885297,0,56.29122905,0,-3.513750844,-2.532232954,0,1.747458168,12.24789031,8.810553301,0.862068966,39,0,10,0,0,0,0,0,0,0,3,0,10,0,10,0,19,0,0,0,0,3,15.8524832,0,3.5575,149.919,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Carbomer940,C=CC(=O)O,450000,72.1,6244.5,106,9.25,9.25,0.833333333,-0.981481481,0.45085806,6.4,72.063,68.031,72.02112937,28,0,0.327198112,-0.478089149,0.478089149,0.327198112,2,2.2,2.2,16.36447321,10.68151441,1.72999782,-1.63999937,1.541777291,-1.815186809,5.783563706,-0.130903173,1.378783493,3.204805418,55.913403,4.28445705,2.639918936,2.639918936,2.27005561,1.124654368,1.124654368,0.542361813,0.542361813,0.174620426,0.174620426,0,0,-0.79,4.21,1.52152648,3.21,29.73528808,5.106527395,0,0,0,0,5.969305288,0,4.794537184,0,0,6.578935684,0,6.076020107,0,9.901064579,5.969305288,0,0,0,0,0,12.65495579,0,0,0,0,0,0,11.07583268,4.794537184,0,0,12.65495579,0,0,0,37.3,5.969305288,4.794537184,0,0,0,6.076020107,0,0,0,6.578935684,5.106527395,0,0,9.25,7.604166667,0,-0.981481481,0,0.833333333,2.960648148,0,0,5,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1.281125296,0,0.257,17.8328,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbomer941,C=CC(=O)O,100000,72.1,1387.7,102.5,9.25,9.25,0.833333333,-0.981481481,0.45085806,6.4,72.063,68.031,72.02112937,28,0,0.327198112,-0.478089149,0.478089149,0.327198112,2,2.2,2.2,16.36447321,10.68151441,1.72999782,-1.63999937,1.541777291,-1.815186809,5.783563706,-0.130903173,1.378783493,3.204805418,55.913403,4.28445705,2.639918936,2.639918936,2.27005561,1.124654368,1.124654368,0.542361813,0.542361813,0.174620426,0.174620426,0,0,-0.79,4.21,1.52152648,3.21,29.73528808,5.106527395,0,0,0,0,5.969305288,0,4.794537184,0,0,6.578935684,0,6.076020107,0,9.901064579,5.969305288,0,0,0,0,0,12.65495579,0,0,0,0,0,0,11.07583268,4.794537184,0,0,12.65495579,0,0,0,37.3,5.969305288,4.794537184,0,0,0,6.076020107,0,0,0,6.578935684,5.106527395,0,0,9.25,7.604166667,0,-0.981481481,0,0.833333333,2.960648148,0,0,5,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1.281125296,0,0.257,17.8328,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eudragit L100-55,[H]C(CC(CC(CC(C(OCC)=O)C[H])(C)C(O)=O)C(OCC)=O)(C)C(O)=O,320000,374.4,854.6,110,12.22407348,12.22407348,0.029242016,-1.400962774,0.498335025,16.65384615,374.43,344.19,374.1940679,150,0,0.308898559,-0.481033737,0.481033737,0.308898559,0.884615385,1.384615385,1.807692308,16.53660582,9.728912376,2.414008131,-2.306509648,2.36462804,-2.368736029,5.792979825,-0.157011637,2.535896261,5.436934954,515.3204826,20.49119935,16.11150165,16.11150165,11.97828737,8.774348184,8.774348184,6.851116112,6.851116112,4.33848773,4.33848773,2.896016469,2.896016469,-2.12,23.88,10.7774007,7.409747989,153.4049133,19.6867807,0,0,0,0,23.87722115,19.17814874,0,0,0,13.8474744,40.03367647,0,36.38247254,38.86492943,23.87722115,0,0,23.16870861,53.88115087,13.21376393,0,0,0,0,0,0,0,47.30403987,28.65187464,23.16870861,53.88115087,0,0,0,0,127.2,47.04592976,24.28467613,0,32.4762288,0,0,13.8474744,20.7712116,0,0,14.5802533,9.899946024,0,47.0485207,18.77411186,-1.400962774,-5.761260024,0,-0.188611347,8.04492223,0,0.777777778,26,2,8,0,0,0,0,0,0,0,4,0,6,2,8,0,12,0,0,0,0,4,9.898628026,0,2.3468,92.3136,2,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEG 1500,C(CO)O,1500,62.1,24.2,45,7.625,7.625,0.125,-0.125,0.407527891,7.5,62.068,56.02,62.03677943,26,0,0.06622664,-0.393990542,0.393990542,0.06622664,1,1.25,1.25,16.30425825,10.81832367,1.575298676,-1.699066797,1.392607251,-1.84530091,4.062481069,0.185938562,1.370950594,1.974744871,6,3.414213562,2.308640753,2.308640753,1.914213562,1.132455532,1.132455532,0.447213595,0.447213595,0.1,0.1,0,0,-0.08,3.92,2.92,1.92,24.69266065,10.21305479,0,0,0,0,0,0,0,0,0,0,0,0,13.21376393,10.21305479,0,0,0,0,0,13.21376393,0,0,0,0,0,0,0,23.42681872,0,0,0,0,0,0,0,40.46,0,0,0,13.21376393,0,0,0,0,0,0,10.21305479,0,0,0,15.25,0,0,0,0,-0.25,0,1,4,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,2.8616,0,-1.029,14.1716,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eudragit S100,[H]C(CC(CC(C[H])(C)C(OC)=O)(C)C(OC)=O)(C)C(O)=O,125000,288.3,433.5,130,12.01320248,12.01320248,0.092689437,-1.065231481,0.719143379,15.9,288.34,264.148,288.1572885,116,0,0.311070783,-0.481033607,0.481033607,0.311070783,1.05,1.5,1.85,16.52951943,9.696116075,2.445244967,-2.342628918,2.399894702,-2.39765408,5.807390273,-0.160989429,2.348812785,5.30255203,387.125367,16.1378282,12.98001888,12.98001888,8.997053554,6.395657971,6.395657971,6.047892975,6.047892975,3.426563735,3.426563735,2.561040751,2.561040751,-1.59,18.41,6.721700085,4.505300978,118.989389,14.5802533,0,0,0,0,17.90791586,14.38361155,0,0,0,6.9237372,33.61285484,0,30.96748207,28.96386485,17.90791586,0,0,16.74788698,40.53659204,14.21959508,0,0,0,0,0,0,0,37.23403834,23.85733746,16.74788698,40.53659204,0,0,0,0,89.9,34.65580285,14.38361155,0,12.84164325,0,0,21.14333228,20.7712116,0,0,14.5802533,9.490601379,0,34.76421485,9.009750094,-1.972063492,-2.678950591,0,0.242457955,6.452919737,2.524403397,0.785714286,20,1,6,0,0,0,0,0,0,0,2,0,5,1,6,0,7,0,0,0,0,2,6.187324928,0,1.8658,71.9538,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P188,OCCOCCOCCOCC(OCCOCCOCCO[H])C,8000,340.4,23.5,52,8.511090555,8.511090555,0.002660691,-0.002660691,0.302756,12.65217391,340.413,308.157,340.209718,140,0,0.078112621,-0.393980325,0.393980325,0.078112621,0.565217391,0.956521739,1.434782609,16.56934626,10.42217798,2.018696508,-2.135022768,1.926574755,-2.205221971,4.470889097,-0.048254926,2.555060313,3.11355638,217.6535573,17.01237911,14.11365536,14.11365536,11.30806041,8.029182833,8.029182833,4.653026325,4.653026325,2.569873731,2.569873731,1.496533185,1.496533185,-0.32,22.68,19.72612546,19.63398239,138.1181795,38.63423251,0,0,0,0,0,0,0,0,0,0,6.9237372,0,91.99343193,38.63423251,0,0,0,0,13.02770359,85.88946554,0,0,0,0,0,0,0,102.2064867,28.42117772,0,6.9237372,0,0,0,0,95.84,0,0,0,19.31773032,72.67570161,0,0,0,6.9237372,0,38.63423251,31.66966744,0,0,17.01785197,0,0,0,-0.002660691,7.148474613,0,1,23,2,8,0,0,0,0,0,0,0,1,0,8,2,8,0,19,0,0,0,0,1,19.45167502,0,-0.5409,83.6806,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
