target,Density,MP,Tg,logP,logD,A_pKa,B_pKa,logS,logPapp,Kinetic_Solubility_Pred,Soubility_ethanol,Soubility_methanol,Max_organic_solubility,Min_organic_solubility,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MinAbsPartialCharge,BalabanJ,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHDonors,NumSaturatedCarbocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_Ar_OH,fr_C_S,fr_NH2,fr_N_O,fr_amidine,fr_aniline,fr_azide,fr_bicyclic,fr_halogen,fr_ketone,fr_lactam,fr_lactone,fr_nitro,fr_phos_acid,fr_phos_ester,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_unbrch_alkane
0,1.275945187,181.0366211,26.72768784,4.242707253,4.245706081,7.748224258,4.686916351,-5.66265583,-5.234147549,1,-2.587877913,-2.614402134,-2.110740991,-3.533784823,15.54062086,0.121225603,-2.220133125,0.170727971,32.96666667,835.944,0,0.407747107,-0.455737672,0.407747107,1.519708702,0.577777778,3,1,1,2,0,2,11,2,3,2,3,0,0,6,4.5678,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
0,1.406292558,126.4637451,30.5485878,4.643915176,4.541552544,9.066607475,4.478616714,-6.103108406,-4.504245758,1,-2.500597934,-2.444732241,-1.75364992,-3.41590357,12.9288233,0.135839973,-0.885422834,0.484773313,16.13333333,456.322,0,0.33913225,-0.465580051,0.33913225,2.462397578,0.380952381,0,1,0,1,0,1,1,0,1,0,0,0,1,2,4.2452,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,1.240463018,131.9121552,4.710754395,3.029376984,2.771314383,7.949419975,0.891468048,-3.267852306,-4.564322948,1,-2.476985654,-2.43489386,-2.015656166,-3.30511823,12.13606859,0.047592593,-1.069375,0.444091492,20.47058824,254.355,0,0.241932085,-0.301888655,0.241932085,3.113648891,0.583333333,0,1,2,0,0,0,1,0,2,0,1,0,1,1,1.516,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.249863267,86.93534851,-8.921192169,2.402311087,2.147927999,5.153435707,1.392965794,-2.990318775,-4.313667297,1,-2.284902909,-2.352828342,-1.938105749,-3.235013163,12.39134212,0.147666289,-1.368472222,0.473489725,24.36842105,262.309,0,0.330019718,-0.276599312,0.276599312,3.298175089,0.5,0,1,4,0,0,0,2,0,1,0,1,0,2,1,1.3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.176019192,112.3932724,16.67287064,6.2671175,4.143681526,8.85326004,4.458037853,-6.245285034,-4.548147678,0,-2.414350914,-2.439840258,-1.968543173,-3.063036639,12.62879723,0.034714637,-0.034714637,0.604927585,37.56666667,406.566,0,0.305912637,-0.461761303,0.305912637,1.234672702,0.62962963,4,0,0,1,0,1,6,0,0,3,3,0,0,5,5.6728,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
0,1.609529257,181.1496277,83.90446472,0.97253406,-0.075554132,3.537474871,7.340992928,-2.37992239,-6.280959129,1,-2.524187646,-2.463873846,-2.047383866,-3.23601535,13.31369504,0.134831349,-2.745033659,0.336110462,34.375,444.44,0,0.255450836,-0.50965062,0.255450836,2.047922027,0.409090909,3,0,1,1,0,1,5,0,6,0,0,0,0,4,-0.2144,0,4,0,0,0,1,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
0,1.165787816,118.1962814,2.814094543,2.959269047,1.855530977,10.25995064,4.662543297,-2.794258833,-4.786440849,1,-2.50616208,-2.387978429,-1.946214818,-3.329937042,13.23334416,0.016964168,-1.16534397,0.521911809,37.45714286,506.709,0,0.222607593,-0.392111852,0.222607593,1.854320356,0.740740741,0,2,1,0,1,1,7,0,3,0,2,0,0,3,4.05052,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1.252243042,212.827179,56.11027908,4.7391119,3.438746452,9.695907593,4.692996979,-4.284834862,-4.812472343,1,-2.325122601,-2.454514591,-2.064081905,-3.208863022,14.08875776,0.241065563,-1.055588204,0.766454321,44.80952381,289.380938,0,0.126715373,-0.507956032,0.126715373,1.710270699,0.666666667,3,0,0,1,0,1,6,0,2,2,2,0,0,4,3.5572,0,1,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
0,1.209237337,225.4870758,35.56167221,5.194412231,3.660361767,8.409547806,3.476825237,-5.167806149,-4.607274532,1,-2.511341657,-2.429009367,-2.013775837,-3.13676713,13.22448098,0.001936623,-1.623987688,0.625125288,42.15151515,458.595,0,0.306253956,-0.457524418,0.306253956,1.551991604,0.740740741,4,0,0,0,0,0,7,0,2,3,3,0,0,4,3.5447,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
0,1.14995718,157.7240295,13.77972794,5.120989799,3.343370438,8.549674034,3.747270346,-5.028967381,-4.583145142,1,-2.550254379,-2.466488787,-2.034289739,-3.059319182,12.77324594,0.028221083,-0.376735419,0.694387314,43.22222222,372.505,0,0.302563852,-0.457860096,0.302563852,1.555074862,0.782608696,4,0,0,0,0,0,6,0,0,3,3,0,0,4,4.2667,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
