solvent_name,Drug,SMILES_Solvent,Solubility(mole_fraction),Solubility(mol/L),canonical_drug,canonical_solvent,value,Temperature_K,MaxEStateIndex_solvent,MinAbsEStateIndex_solvent,MinEStateIndex_solvent,qed_solvent,HeavyAtomMolWt_solvent,MaxPartialCharge_solvent,MinPartialCharge_solvent,MinAbsPartialCharge_solvent,FpDensityMorgan1_solvent,FpDensityMorgan3_solvent,BCUT2D_MWHI_solvent,BCUT2D_MWLOW_solvent,BCUT2D_LOGPLOW_solvent,BCUT2D_MRHI_solvent,BCUT2D_MRLOW_solvent,AvgIpc_solvent,BertzCT_solvent,Chi4n_solvent,HallKierAlpha_solvent,Kappa2_solvent,Kappa3_solvent,PEOE_VSA1_solvent,PEOE_VSA10_solvent,PEOE_VSA11_solvent,PEOE_VSA13_solvent,PEOE_VSA2_solvent,PEOE_VSA3_solvent,PEOE_VSA5_solvent,PEOE_VSA6_solvent,PEOE_VSA7_solvent,PEOE_VSA8_solvent,PEOE_VSA9_solvent,SMR_VSA1_solvent,SMR_VSA10_solvent,SMR_VSA3_solvent,SMR_VSA4_solvent,SlogP_VSA1_solvent,SlogP_VSA10_solvent,SlogP_VSA12_solvent,SlogP_VSA2_solvent,SlogP_VSA3_solvent,SlogP_VSA4_solvent,SlogP_VSA5_solvent,SlogP_VSA6_solvent,SlogP_VSA8_solvent,TPSA_solvent,EState_VSA1_solvent,EState_VSA10_solvent,EState_VSA2_solvent,EState_VSA3_solvent,EState_VSA4_solvent,EState_VSA5_solvent,EState_VSA6_solvent,EState_VSA7_solvent,EState_VSA8_solvent,EState_VSA9_solvent,VSA_EState1_solvent,VSA_EState3_solvent,VSA_EState4_solvent,VSA_EState5_solvent,VSA_EState6_solvent,VSA_EState7_solvent,VSA_EState8_solvent,VSA_EState9_solvent,FractionCSP3_solvent,NHOHCount_solvent,NOCount_solvent,NumAliphaticCarbocycles_solvent,NumAliphaticRings_solvent,NumAromaticHeterocycles_solvent,NumAtomStereoCenters_solvent,NumBridgeheadAtoms_solvent,NumHAcceptors_solvent,NumHeteroatoms_solvent,NumRotatableBonds_solvent,MolLogP_solvent,fr_Al_OH_noTert_solvent,fr_ArN_solvent,fr_COO_solvent,fr_NH1_solvent,fr_Ndealkylation2_solvent,fr_allylic_oxid_solvent,fr_aryl_methyl_solvent,fr_furan_solvent,fr_lactone_solvent,fr_methoxy_solvent,fr_morpholine_solvent,fr_para_hydroxylation_solvent,fr_phenol_noOrthoHbond_solvent,fr_priamide_solvent,fr_unbrch_alkane_solvent,MACCS_15_solvent,MACCS_19_solvent,MACCS_20_solvent,MACCS_21_solvent,MACCS_22_solvent,MACCS_28_solvent,MACCS_29_solvent,MACCS_34_solvent,MACCS_36_solvent,MACCS_40_solvent,MACCS_41_solvent,MACCS_42_solvent,MACCS_46_solvent,MACCS_48_solvent,MACCS_50_solvent,MACCS_53_solvent,MACCS_54_solvent,MACCS_57_solvent,MACCS_58_solvent,MACCS_65_solvent,MACCS_66_solvent,MACCS_72_solvent,MACCS_74_solvent,MACCS_82_solvent,MACCS_84_solvent,MACCS_86_solvent,MACCS_87_solvent,MACCS_89_solvent,MACCS_90_solvent,MACCS_91_solvent,MACCS_93_solvent,MACCS_95_solvent,MACCS_96_solvent,MACCS_98_solvent,MACCS_99_solvent,MACCS_101_solvent,MACCS_104_solvent,MACCS_105_solvent,MACCS_106_solvent,MACCS_107_solvent,MACCS_108_solvent,MACCS_112_solvent,MACCS_113_solvent,MACCS_114_solvent,MACCS_115_solvent,MACCS_116_solvent,MACCS_119_solvent,MACCS_123_solvent,MACCS_124_solvent,MACCS_126_solvent,MACCS_128_solvent,MACCS_129_solvent,MACCS_130_solvent,MACCS_132_solvent,MACCS_133_solvent,MACCS_135_solvent,MACCS_136_solvent,MACCS_137_solvent,MACCS_138_solvent,MACCS_140_solvent,MACCS_141_solvent,MACCS_142_solvent,MACCS_143_solvent,MACCS_144_solvent,MACCS_145_solvent,MACCS_146_solvent,MACCS_147_solvent,MACCS_148_solvent,MACCS_149_solvent,MACCS_151_solvent,MACCS_152_solvent,MACCS_153_solvent,MACCS_155_solvent,MACCS_156_solvent,MACCS_157_solvent,MACCS_159_solvent,MACCS_160_solvent,MACCS_161_solvent,MACCS_163_solvent,MACCS_164_solvent,MACCS_165_solvent
toluene,O=[N+]([O-])c1cccc2ccccc12,Cc1ccccc1,0.4206,6.793068945,O=[N+]([O-])c1cccc2ccccc12,Cc1ccccc1,-0.376130732,298.15,2.083333333,1.321759259,1.321759259,0.45880628,84.077,-0.039774526,-0.062249086,0.039774526,1,1.857142857,13.78210528,10.24462622,-1.622155593,5.111827209,1.475756642,1.685616163,129.9656602,0.534377897,-0.78,1.78328604,1.038264132,0,0,0,0,0,0,0,35.89528683,6.9237372,0,0,0,0,0,0,0,0,0,0,0,6.9237372,5.563451492,30.33183534,0,0,0,0,0,0,0,5.563451492,0,18.19910121,19.05647134,0,0,0,1.321759259,0,10.26157407,0,2.083333333,0,0.142857143,0,0,0,0,0,0,0,0,0,0,1.99502,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
isobutanol,c1ccc2cc3ccccc3cc2c1,CC(C)CO,0.00047,0.005061628,c1ccc2cc3ccccc3cc2c1,CC(C)CO,-3.327902142,298.15,8.143518519,0.305555556,0.305555556,0.483480244,64.043,0.045348804,-0.396109844,0.045348804,1.6,1.8,16.25082235,10.24864869,-1.902163405,4.318960272,0.247962689,1.378783493,17.60964047,0,-0.04,2.212525253,3.96,5.106527395,0,0,0,0,0,0,13.8474744,5.917906046,6.606881965,0,5.106527395,0,0,5.917906046,0,0,0,11.71340936,0,5.917906046,13.8474744,0,0,20.23,0,0,0,12.52478801,0,0,0,13.8474744,0,5.106527395,0,8.143518519,0,0.439814815,0,0,4.25,0,1,1,1,0,0,0,0,0,1,1,1,0.6347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0
"1,4-dioxane",CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,C1COCCO1,8.73E-05,0.00103081,CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,C1COCCO1,-4.058985756,298.15,4.944444444,0.777777778,0.777777778,0.41574925,80.042,0.070114395,-0.376667636,0.070114395,0.666666667,1.166666667,16.56430083,10.63857183,-2.158799402,4.365979954,-0.033358206,1.719973094,21.01955001,0.439826406,-0.08,2.157216947,0.953692476,9.473725908,0,0,0,0,0,0,0,0,0,26.42752786,9.473725908,0,0,0,0,0,0,26.42752786,9.473725908,0,0,0,0,18.46,0,0,0,0,26.42752786,0,0,0,0,9.473725908,9.888888889,0,0,0,0,0,3.111111111,0,1,0,2,0,1,0,0,0,2,2,0,0.0332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1
methyl acetate,CC1(C)CC(NCCCCCCNC2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1,COC(C)=O,0.02236,0.296383751,CC1(C)CC(NCCCCCCNC2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1,COC(C)=O,-1.650528201,298.15,9.590277778,0.24537037,-0.24537037,0.382966591,68.031,0.301847167,-0.469198107,0.301847167,1.8,2,16.52202262,10.83375031,-1.881194838,5.650646147,-0.137450045,1.378783493,40.15772188,0,-0.53,1.758184438,3.47,4.736862954,0,0,0,4.794537184,0,0,0,0,6.9237372,7.109797541,9.531400138,5.969305288,0,0,0,0,0,13.07910283,9.531400138,0,6.9237372,0,0,26.3,0,4.794537184,5.969305288,0,0,14.03353474,0,0,4.736862954,0,4.111111111,0,0,-0.24537037,0,0,1.361111111,1.349537037,0.666666667,0,2,0,0,0,0,0,2,2,0,0.1793,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0
THF,CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,C1CCOC1,0.0001325,0.001641685,CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,C1CCOC1,-3.877784122,298.15,4.944444444,1,1,0.410937601,64.043,0.04663817,-0.381449382,0.04663817,1,1.8,16.47808085,10.39358405,-1.743026703,4.431751901,0.197833493,1.76049503,15.21928095,0.510310363,-0.04,1.410312175,0.618363684,4.736862954,0,0,0,0,0,0,0,12.84164325,13.21376393,0,4.736862954,0,0,0,0,0,0,13.21376393,4.736862954,0,12.84164325,0,0,9.23,0,0,0,0,13.21376393,12.84164325,0,0,0,4.736862954,4.944444444,0,0,0,0,2.555555556,2,0,1,0,1,0,1,0,0,0,1,1,0,0.7968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
2-butanone,O=C(Nc1c(F)c(F)c(F)c(F)c1F)C(=O)Nc1c(F)c(F)c(F)c(F)c1F,CCC(C)=O,0.00793,0.09027786,O=C(Nc1c(F)c(F)c(F)c(F)c1F)C(=O)Nc1c(F)c(F)c(F)c(F)c1F,CCC(C)=O,-2.100726813,298.15,9.8125,0.25462963,0.25462963,0.451050805,64.043,0.129065033,-0.300042385,0.129065033,1.8,2,16.13711378,10.36069991,-1.797011934,5.744224711,-0.116198589,1.378783493,38.91260938,0,-0.33,1.942479564,3.67,4.794537184,5.783244946,0,0,0,0,0,6.9237372,6.9237372,6.420821623,0,4.794537184,5.783244946,0,0,0,0,0,5.783244946,4.794537184,0,20.26829602,0,0,17.07,0,4.794537184,5.783244946,6.420821623,0,0,6.9237372,6.9237372,0,0,0,0,0,0.25462963,0,0.666666667,3.43287037,0,0.75,0,1,0,0,0,0,0,1,1,1,0.9854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
n-pentanol,c1ccc2cc3ccccc3cc2c1,CCCCCO,0.001097,0.010104065,c1ccc2cc3ccccc3cc2c1,CCCCCO,-2.959793372,298.15,8.197361111,0.355,0.355,0.513281356,76.054,0.043052233,-0.396376571,0.043052233,1.333333333,2.166666667,16.24992099,10.26337425,-1.780557968,4.304159999,0.283807323,1.614330835,15.90013453,0.361803399,-0.04,4.96,3.96,5.106527395,0,0,0,0,0,0,19.76538045,6.420821623,6.606881965,0,5.106527395,0,0,0,0,0,0,11.71340936,0,0,26.18620207,0,0,20.23,0,0,0,6.606881965,12.84164325,6.420821623,0,0,6.9237372,5.106527395,0,8.197361111,0,0,0,3.326944444,2.475694444,0,1,1,1,0,0,0,0,0,1,1,3,1.1689,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
sec-butanol,c1ccc2cc3ccccc3cc2c1,CCC(C)O,0.000585,0.006334459,c1ccc2cc3ccccc3cc2c1,CCC(C)O,-3.232844134,298.15,8.361111111,0.115740741,-0.115740741,0.486927429,64.043,0.050903904,-0.393430087,0.050903904,1.8,2,16.26458483,10.32638817,-1.926645189,4.338386967,0.190544205,1.378783493,17.60964047,0,-0.04,2.212525253,3.96,5.106527395,0,0,0,0,0,0,6.9237372,13.34455882,0,6.103966388,5.106527395,0,0,0,0,0,0,11.21049378,0,0,20.26829602,0,0,20.23,0,0,6.103966388,0,6.420821623,0,6.9237372,6.9237372,0,5.106527395,0,8.361111111,0,0,0,0.74537037,3.726851852,0,1,1,1,0,0,0,1,0,1,1,1,0.7772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
n-hexane,c1cc2ccc3cccc4ccc(c1)c2c34,CCCCCC,0.00857,0.065593417,c1cc2ccc3cccc4ccc(c1)c2c34,CCCCCC,-2.067019178,298.15,2.231805556,1.355,1.355,0.462954281,72.066,-0.053578702,-0.065382385,0.053578702,0.833333333,1.333333333,13.81562221,10.2098642,-1.657035798,4.307622205,0.701864202,1.614330835,12,0.5,0,5,4,0,0,0,0,0,0,0,39.53076089,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53076089,0,0,0,0,0,0,0,0,25.68328649,0,0,13.8474744,0,0,0,0,0,0,5.536388889,4.463611111,0,1,0,0,0,0,0,0,0,0,0,3,2.5866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ethylene glycol,O=[N+]([O-])c1cccc2ccccc12,OCCO,0.00463,0.083170161,O=[N+]([O-])c1cccc2ccccc12,OCCO,-2.334419009,298.15,7.625,0.125,-0.125,0.407527891,56.02,0.06622664,-0.393990542,0.06622664,1,1.25,16.30425825,10.81832367,-1.84530091,4.062481069,0.185938562,1.370950594,6,0,-0.08,2.92,1.92,10.21305479,0,0,0,0,0,0,0,0,0,13.21376393,10.21305479,0,0,0,0,0,0,23.42681872,0,0,0,0,0,40.46,0,0,13.21376393,0,0,0,0,0,0,10.21305479,0,15.25,0,0,0,0,-0.25,0,1,2,2,0,0,0,0,0,2,2,1,-1.029,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0
NMP,CC(=O)c1cnccn1,CN1CCCC1=O,0.1171,1.411633058,CC(=O)c1cnccn1,CN1CCCC1=O,-0.931443105,298.15,10.5,0.291666667,0.291666667,0.425686211,90.061,0.221873564,-0.345748915,0.221873564,1.714285714,2.571428571,16.15310778,10.38011002,-2.173220282,5.771081934,-0.126031391,1.905399931,90.080944,0.78301432,-0.53,1.523475772,0.734423082,4.899909731,0,0,0,4.794537184,0,0,0,6.420821623,20.01325001,0,4.794537184,5.907179729,4.899909731,0,0,0,0,24.39951785,4.794537184,0,12.84164325,0,0,20.31,0,4.794537184,0,5.907179729,19.38639965,0,4.899909731,7.047671983,0,0,0,0,0,0.291666667,0,1.811342593,0.957175926,1.842592593,0.8,0,2,0,1,0,0,0,1,2,0,0.2386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1
cyclohexane,c1cc2ccc3cccc4ccc(c1)c2c34,C1CCCCC1,0.011,0.102157693,c1cc2ccc3cccc4ccc(c1)c2c34,C1CCCCC1,-1.958607315,298.15,1.5,1.5,1.5,0.422316187,72.066,-0.053305973,-0.053305973,0.053305973,0.333333333,0.666666667,14.014,10.012,-1.8549,4.506,0.504,1.719973094,15.509775,1.060660172,0,2.222222222,1,0,0,0,0,0,0,0,38.52492974,0,0,0,0,0,0,0,0,0,0,0,0,0,38.52492974,0,0,0,0,0,0,0,0,38.52492974,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,1,0,0,0,0,0,0,2.3406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DMSO,CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,CS(C)=O,0.2565,4.858934532,CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,CS(C)=O,-0.590912631,298.15,9.555555556,0.611111111,-0.611111111,0.398185077,72.088,0.014804214,-0.260157963,0.014804214,1.5,1.5,32.19696041,11.91219609,-1.701197897,7.829987043,0.690011823,0.811278124,29.01955001,0,0.15,1.467460317,126.3722222,0,0,0,0,4.208898492,0,0,0,0,23.31110741,0,4.208898492,10.79956904,0,0,0,0,0,16.72043686,10.79956904,0,0,0,0,17.07,10.79956904,4.208898492,0,0,0,0,12.51153837,0,0,0,9.555555556,0,0,0,0,3.277777778,0,-0.611111111,1,0,1,0,0,0,0,0,1,2,0,-0.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
n-butyl acetate,CCCCCCCCCCCCCCCCCC(=O)OCCO,CCCCOC(C)=O,0.0094,0.071824684,CCCCCCCCCCCCCCCCCC(=O)OCCO,CCCCOC(C)=O,-2.026872146,298.15,10.09634637,0.181990741,-0.181990741,0.410684113,104.064,0.302122867,-0.465877874,0.302122867,1.625,2.625,16.5314464,10.35948956,-1.986271053,5.653159339,-0.140540593,1.664672795,68.92878689,0.36023509,-0.53,4.624559505,5.47,4.736862954,0,0,0,4.794537184,0,0,13.34455882,6.420821623,6.9237372,6.606881965,9.531400138,5.969305288,0,0,0,0,0,12.57618725,9.531400138,0,26.68911765,0,0,26.3,0,4.794537184,5.969305288,6.606881965,12.84164325,6.9237372,0,0,11.66060015,0,4.643333333,0,0,-0.181990741,0,2.048472222,4.06050548,0,0.833333333,0,2,0,0,0,0,0,2,2,3,1.3496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0
n-octanol,c1ccc2cc3ccccc3cc2c1,CCCCCCCCO,0.00216,0.013660639,c1ccc2cc3ccccc3cc2c1,CCCCCCCCO,-2.665546249,298.15,8.422781951,0.3671875,0.3671875,0.54704837,112.087,0.043052407,-0.396376569,0.043052407,0.888888889,2,16.24992446,10.12740158,-1.821008324,4.410191863,0.282098727,1.885234836,37.83229392,0.892133485,-0.04,7.96,7.96,5.106527395,0,0,0,0,0,0,39.02784531,6.420821623,6.606881965,0,5.106527395,0,0,0,0,0,0,11.71340936,0,0,45.44866694,0,0,20.23,0,0,0,6.606881965,6.420821623,32.10410811,0,0,6.9237372,5.106527395,0,8.422781951,0,0,0,7.495702239,2.58151581,0,1,1,1,0,0,0,0,0,1,1,6,2.3392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
chloroform,CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,ClC(Cl)Cl,0.005515,0.06957576,CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,ClC(Cl)Cl,-2.258454483,298.15,4.805555556,0.75,-0.75,0.427859176,118.37,0.180106635,-0.087411528,0.087411528,1,1,35.58227356,11.88372644,-1.545926292,6.625347315,1.960652685,0.811278124,8,0,0.87,2.128397933,13.25948342,0,0,4.295451512,0,0,0,0,34.80281967,0,0,0,0,34.80281967,0,0,0,0,34.80281967,4.295451512,0,0,0,0,0,0,4.295451512,0,0,0,0,0,0,0,0,34.80281967,-0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1.9864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n-propyl acetate,CCCCCCCCCCCCCCCCCC(=O)OCCO,CCCOC(C)=O,0.0357,0.320133324,CCCCCCCCCCCCCCCCCC(=O)OCCO,CCCOC(C)=O,-1.447331784,298.15,9.980416667,0.192731481,-0.192731481,0.485245074,92.053,0.302122697,-0.46588874,0.302122697,1.714285714,2.428571429,16.53140833,10.52893962,-1.975277602,5.653106012,-0.140439015,1.612197223,59.10049401,0.245790812,-0.53,3.652815356,5.47,4.736862954,0,0,0,4.794537184,0,0,6.9237372,6.420821623,6.9237372,6.606881965,9.531400138,5.969305288,0,0,0,0,0,12.57618725,9.531400138,0,20.26829602,0,0,26.3,0,4.794537184,5.969305288,6.606881965,6.420821623,6.9237372,0,6.9237372,4.736862954,0,4.552083333,0,0,-0.192731481,0,0.902361111,3.924537037,0,0.8,0,2,0,0,0,0,0,2,2,2,0.9595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0
acetic acid,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CC(=O)O,0.055907,1.029386983,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CC(=O)O,-1.252533812,298.15,9,0.833333333,-0.833333333,0.429882883,56.02,0.299684553,-0.481433475,0.299684553,2,2,16.36392907,10.85498522,-1.777043743,5.624779759,-0.133928992,0.811278124,27.01955001,0,-0.53,0.8748583,1.156009256,5.106527395,0,0,5.969305288,4.794537184,0,0,0,0,6.9237372,0,9.901064579,5.969305288,0,0,0,0,0,11.07583268,4.794537184,0,6.9237372,0,0,37.3,5.969305288,0,0,0,6.9237372,0,0,0,0,9.901064579,0,7.416666667,0,-0.833333333,0,0,1.083333333,0,0.5,1,2,0,0,0,0,0,1,2,0,0.0909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
dichloromethane,CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,ClCCl,0.00512,0.080891015,CC1(C)COP(=O)(Oc2cc(OP3(=O)OCC(C)(C)CO3)cc(OP3(=O)OCC(C)(C)CO3)c2)OC1,ClCCl,-2.290730039,298.15,4.763888889,0.194444444,0.194444444,0.389962107,82.917,0.09670639,-0.10913233,0.09670639,1.333333333,1.333333333,35.53900508,11.92599492,-1.23967531,6.402082915,2.204917085,0.918295834,2.754887502,0,0.58,2.58,2.58,0,0,0,0,0,0,23.20187978,0,0,0,5.339185267,0,23.20187978,0,0,0,0,23.20187978,5.339185267,0,0,0,0,0,0,0,0,5.339185267,0,0,0,0,0,0,23.20187978,0,0.194444444,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1.4215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
